horizon,norm_window,min_expectancy,max_distance,k,min_mfe,max_bars_in_trade,sample_interval,blocked_regimes,total_pnl,total_pnl_pct,win_rate,total_trades,profit_factor,max_drawdown_pct,sharpe,expectancy
5,300,0.0,3.0,150,0.002,0,3,NONE,0.9841826538619493,0.9841826538619493,100.0,13,99.99,0.0,7.477381943942276,0.07570635798938072
5,300,0.0,3.0,150,0.002,0,5,NONE,0.37801061969893957,0.37801061969893957,100.0,5,99.99,0.0,6.003621831188734,0.07560212393978791
5,300,0.0,2.0,100,0.002,0,3,NONE,0.16164443860687105,0.16164443860687105,100.0,2,99.99,0.0,8.119677508356622,0.08082221930343553
5,300,0.0,3.0,200,0.002,0,3,NONE,0.15877669595418098,0.15877669595418098,100.0,2,99.99,0.0,5.513547021903814,0.07938834797709049
5,300,0.0,3.0,100,0.0025,0,5,NONE,0.12765298161229324,0.12765298161229324,100.0,1,99.99,0.0,0.0,0.12765298161229324
5,300,0.0,3.0,100,0.0025,0,3,NONE,0.102292174692052,0.102292174692052,100.0,1,99.99,0.0,0.0,0.102292174692052
5,300,0.0,2.0,100,0.002,0,5,NONE,0.07063217836762249,0.07063217836762249,100.0,1,99.99,0.0,0.0,0.07063217836762249
3,300,0.0,2.0,100,0.002,0,5,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,2.0,150,0.002,0,5,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,2.0,100,0.002,0,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,2.0,100,0.0025,0,5,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,2.0,100,0.0025,0,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,2.0,100,0.003,0,5,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,2.0,100,0.003,0,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,2.0,100,0.004,0,5,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,2.0,100,0.004,0,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,2.0,200,0.002,0,5,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,2.0,200,0.002,0,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,2.0,200,0.0025,0,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,2.0,200,0.0025,0,5,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,2.0,200,0.003,0,5,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,2.0,200,0.003,0,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,2.0,200,0.004,0,5,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,2.0,200,0.004,0,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,3.0,100,0.002,0,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,2.0,150,0.002,0,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,2.0,150,0.0025,0,5,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,2.0,150,0.0025,0,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,2.0,150,0.003,0,5,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,2.0,150,0.003,0,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,2.0,150,0.004,0,5,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,2.0,150,0.004,0,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,3.0,100,0.004,0,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,3.0,100,0.004,0,5,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,3.0,100,0.003,0,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,3.0,100,0.003,0,5,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,3.0,100,0.0025,0,5,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,3.0,100,0.0025,0,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,3.0,100,0.002,0,5,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,3.0,150,0.002,0,5,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,3.0,200,0.002,0,3,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3,300,0.0,3.0,200,0.002,0,5,NONE,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
